date,event,avg_tariff_rate
2025-02-01,"25% tariffs on Mexico/Canada, 20% on China",2.5
2025-03-12,25% steel/aluminum tariffs,8.2
2025-04-05,Universal 10% baseline tariff,15.4
2025-04-09,Country-specific reciprocal tariffs (up to 145% China),27.0
2025-08-27,50% tariffs on India,18.6
